line,verdict,stage_reason,csv_name,csv_city,candidate_id,candidate_name,candidate_city,candidate_michelin_2025,proposed,confidence,reason,decision
351,new_venue,,Le Camélia,Bry,ve_d8f2845af8,Restaurant Le Camélia,bry,One Star,use:ve_d8f2845af8,high,same tier both years: 1 star,use:ve_d8f2845af8
352,new_venue,,Auberge de la Grive,Trosly-Loire,,,,,new,high,"no candidate in trosly-loire, nor anywhere in France holding a Michelin 2025 row",new
358,new_venue,,L'Axel,Fontainebleau,,,,,new,high,"no candidate in fontainebleau, nor anywhere in France holding a Michelin 2025 row",new
359,new_venue,,Le Vieux Logis,Trémolat,,,,,new,high,"no candidate in tremolat, nor anywhere in France holding a Michelin 2025 row",new
360,new_venue,,La Table de Courcelles - Château de Courcelles,Courcelles-sur-Vesle,,,,,new,high,"no candidate in courcelles-sur-vesle, nor anywhere in France holding a Michelin 2025 row",new
362,new_venue,,Le 1862 - Les Glycines,Les Eyzies-de-Tayac-Sireuil,ve_ec51bda29b,Le 1862,les-eyzies-de-tayac-sireuil,One Star,use:ve_ec51bda29b,high,same tier both years: 1 star,use:ve_ec51bda29b
365,new_venue,,Auberge Le Prieuré,Moirax,ve_b9609849ac,L'Auberge le Prieuré,moirax,One Star,use:ve_b9609849ac,high,same tier both years: 1 star,use:ve_b9609849ac
369,new_venue,,La Pomme d'Or,Sancerre,ve_aa7b4e7c78,Restaurant La Pomme d'Or,sancerre,One Star,use:ve_aa7b4e7c78,high,same tier both years: 1 star,use:ve_aa7b4e7c78
370,new_venue,,La Table d'Olivier,Brive-la-Gaillarde,,,,,new,high,"no candidate in brive-la-gaillarde, nor anywhere in France holding a Michelin 2025 row",new
371,review_city,city_not_found,Alcôve,Vinay,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; needs city: Vinay, France; dropped: ve_f3183e93d3 (L'Alcôve, Bayeux) is already spoken for by line 696 (L'Alcôve, match)",new
373,new_venue,,Holodeck,Floressas,ve_9e18c5ab0b,Restaurant Holodeck,floressas,One Star,use:ve_9e18c5ab0b,high,same tier both years: 1 star,use:ve_9e18c5ab0b
375,new_venue,,Erre,Chassy,ve_d6cfed208f,Restaurant ERRE,chassy,One Star,use:ve_d6cfed208f,high,same tier both years: 1 star,use:ve_d6cfed208f
376,new_venue,,Le Gindreau,Saint-Médard,ve_8b0411fd68,Restaurant Le Gindreau,saint-medard,One Star,use:ve_8b0411fd68,high,same tier both years: 1 star,use:ve_8b0411fd68
377,review_city,city_not_found,Les Jardins,Parnac,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Parnac, France",new
379,new_venue,,La Chapelle - Château Saint-Jean,Montluçon,,,,,new,high,"no candidate in montlucon, nor anywhere in France holding a Michelin 2025 row",new
381,new_venue,,Jérôme Feck,Châlons-en-Champagne,ve_0eba909fa4,Restaurant Jérôme Feck,chalons-en-champagne,One Star,use:ve_0eba909fa4,high,same tier both years: 1 star,use:ve_0eba909fa4
387,new_venue,,Michel Sarran,Toulouse,ve_ebd63723cc,Restaurant Michel Sarran,toulouse,One Star,use:ve_ebd63723cc,high,same tier both years: 1 star,use:ve_ebd63723cc
388,new_venue,,Stéphane Tournié - Les Jardins de l'Opéra,Toulouse,,,,,new,high,"no candidate in toulouse, nor anywhere in France holding a Michelin 2025 row",new
391,new_venue,,Le Valucien - Château de Vault-de-Lugny,Vault-de-Lugny,,,,,new,high,"no candidate in vault-de-lugny, nor anywhere in France holding a Michelin 2025 row",new
395,new_venue,,En Pleine Nature,Quint-Fonsegrives,ve_1f9d04e96f,Restaurant En Pleine Nature,quint-fonsegrives,One Star,use:ve_1f9d04e96f,high,same tier both years: 1 star,use:ve_1f9d04e96f
396,new_venue,,Auberge de la Forge,Lavalette,ve_c4d2d655db,L'Auberge de la Forge,lavalette,One Star,use:ve_c4d2d655db,high,same tier both years: 1 star,use:ve_c4d2d655db
397,new_venue,,Le Puy Tilleul,Tournemire,,,,,new,high,"no candidate in tournemire, nor anywhere in France holding a Michelin 2025 row",new
399,review_venue,same_key_other_city,Radio,Chamalières,ve_55d4d282cc,Hôtel Radio,chamalieres,One Star,use:ve_55d4d282cc,high,same tier both years: 1 star,use:ve_55d4d282cc
400,new_venue,,Jean-Claude Leclerc,Clermont-Ferrand,,,,,new,high,"no candidate in clermont-ferrand, nor anywhere in France holding a Michelin 2025 row",new
403,new_venue,,Émilie & Thomas - Moulin de Cambelong,Conques-en-Rouergue,,,,,new,high,"no candidate in conques-en-rouergue, nor anywhere in France holding a Michelin 2025 row",new
405,new_venue,,Vieux Pont,Belcastel,,,,,new,high,"no candidate in belcastel, nor anywhere in France holding a Michelin 2025 row",new
406,review_city,city_not_found,Auberge du Pont,Pont-du-Château,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Pont-du-Château, France",new
408,new_venue,,Château de Courban,Courban,,,,,new,high,"no candidate in courban, nor anywhere in France holding a Michelin 2025 row",new
409,review_city,city_not_found,Origines,Le Broc,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; needs city: Le Broc, France; dropped: ve_bf76d7e634 (Origines, Paris) is already spoken for by line 276 (Origines Restaurant, new_venue, same city)",new
411,new_venue,,Le Suquet - Sébastien Bras,Laguiole,,,,,new,high,"no candidate in laguiole, nor anywhere in France holding a Michelin 2025 row",new
413,new_venue,,Restaurant de la Loire,Pouilly-sous-Charlieu,,,,,new,high,"no candidate in pouilly-sous-charlieu, nor anywhere in France holding a Michelin 2025 row",new
418,new_venue,,Alexis Baudin,Malling,ve_2f2b83b250,Restaurant Alexis Baudin,malling,One Star,use:ve_2f2b83b250,high,same tier both years: 1 star,use:ve_2f2b83b250
419,review_city,city_not_found,Le K,Montenach,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Montenach, France",new
420,new_venue,,Ed.Em,Chassagne-Montrachet,ve_540fbdb0db,Restaurant Ed.Em,chassagne-montrachet,One Star,use:ve_540fbdb0db,high,same tier both years: 1 star,use:ve_540fbdb0db
425,new_venue,,La Table d'Hôtes - La Rôtisserie du Chambertin,Gevrey-Chambertin,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; dropped: ve_a71d3afafa (La table d'hôtes, Ouistreham) is already spoken for by line 705 (La Table d'Hôtes, match)",new
427,new_venue,,Le Carmin,Beaune,ve_8457b128d6,Restaurant Le Carmin,beaune,One Star,use:ve_8457b128d6,high,same tier both years: 1 star,use:ve_8457b128d6
429,new_venue,,CIBO,Dijon,,,,,new,high,"no candidate in dijon, nor anywhere in France holding a Michelin 2025 row",new
430,new_venue,,L'Aspérule,Dijon,,,,,new,high,"no candidate in dijon, nor anywhere in France holding a Michelin 2025 row",new
431,new_venue,,Origine,Dijon,,,,,new,high,"no candidate in dijon, nor anywhere in France holding a Michelin 2025 row",new
432,new_venue,,La Maison des Cariatides,Dijon,,,,,new,high,"no candidate in dijon, nor anywhere in France holding a Michelin 2025 row",new
433,review_city,city_not_found,Table de Levernois,Levernois,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Levernois, France",new
434,review_city,city_not_found,Le Haut-Allier,Alleyras,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Alleyras, France",new
436,new_venue,,Burnel,Rouvres-en-Xaintois,,,,,new,high,"no candidate in rouvres-en-xaintois, nor anywhere in France holding a Michelin 2025 row",new
438,new_venue,,L'Écrin de Yohann Chapuis,Tournus,,,,,new,high,"no candidate in tournus, nor anywhere in France holding a Michelin 2025 row",new
440,new_venue,,Auberge de Clochemerle,Vaux-en-Beaujolais,,,,,new,high,"no candidate in vaux-en-beaujolais, nor anywhere in France holding a Michelin 2025 row",new
442,new_venue,,Aux Terrasses,Tournus,,,,,new,high,"no candidate in tournus, nor anywhere in France holding a Michelin 2025 row",new
445,new_venue,,Granit - La Mécanique des Frères Bonano,Colombières-sur-Orb,,,,,new,high,"no candidate in colombieres-sur-orb, nor anywhere in France holding a Michelin 2025 row",new
447,review_city,city_not_found,La Table de Chaintré,Chaintré,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Chaintré, France",new
448,new_venue,,Château Blanchard,Chazelles-sur-Lyon,,,,,new,high,"no candidate in chazelles-sur-lyon, nor anywhere in France holding a Michelin 2025 row",new
450,new_venue,,La Huchette,Replonges,,,,,new,high,"no candidate in replonges, nor anywhere in France holding a Michelin 2025 row",new
451,new_venue,,Château du Mont Joly,Sampans,,,,,new,high,"no candidate in sampans, nor anywhere in France holding a Michelin 2025 row",new
453,review_venue,same_key_other_city,La Chaumière,Dole,,,,,new,high,"no candidate in dole, nor anywhere in France holding a Michelin 2025 row",new
454,new_venue,,Guy Lassausaie,Chasselay,ve_03cccc1eff,Restaurant Guy Lassausaie,chasselay,One Star,use:ve_03cccc1eff,high,same tier both years: 1 star,use:ve_03cccc1eff
455,new_venue,,Saisons,Écully,ve_f49862e401,Restaurant Saisons,ecully,One Star,use:ve_f49862e401,high,same tier both years: 1 star,use:ve_f49862e401
456,new_venue,,Auberge Saint-Walfrid,Sarreguemines,,,,,new,high,"no candidate in sarreguemines, nor anywhere in France holding a Michelin 2025 row",new
460,new_venue,,Les Loges,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
461,new_venue,,L'Atelier des Augustins,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
462,new_venue,,Têtedoie,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
463,new_venue,,Ombellule,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
465,new_venue,,Burgundy by Matthieu,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
466,new_venue,,Rustique,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
469,new_venue,,Prairial,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
471,new_venue,,Circle,Lyon,ve_21cd5c1365,Restaurant Circle,lyon,One Star,use:ve_21cd5c1365,high,same tier both years: 1 star,use:ve_21cd5c1365
472,new_venue,,Miraflores,Lyon,,,,,new,high,"no candidate in lyon, nor anywhere in France holding a Michelin 2025 row",new
474,new_venue,,Restaurant De Lauzun,Pézenas,,,,,new,high,"no candidate in pezenas, nor anywhere in France holding a Michelin 2025 row",new
479,new_venue,,L'Almandin,Saint-Cyprien,,,,,new,high,"no candidate in saint-cyprien, nor anywhere in France holding a Michelin 2025 row",new
480,new_venue,,Le Saint Hilaire,Saint-Hilaire-de-Brethmas,,,,,new,high,"no candidate in saint-hilaire-de-brethmas, nor anywhere in France holding a Michelin 2025 row",new
481,new_venue,,La Balette,Collioure,ve_603d4413f2,Restaurant La Balette,collioure,One Star,use:ve_603d4413f2,high,same tier both years: 1 star,use:ve_603d4413f2
487,new_venue,,Auberge de Montfleury,Saint-Germain,,,,,new,high,"no candidate in saint-germain, nor anywhere in France holding a Michelin 2025 row",new
488,new_venue,,Leclère,Montpellier,,,,,new,high,"no candidate in montpellier, nor anywhere in France holding a Michelin 2025 row",new
491,new_venue,,L'Émulsion,Saint-Alban-de-Roche,ve_13f86693b1,Restaurant l'émulsion,saint-alban-de-roche,One Star,use:ve_13f86693b1,high,same tier both years: 1 star,use:ve_13f86693b1
493,new_venue,,Kasbür,Monswiller,ve_6ad9c595f7,Restaurant Kasbur,monswiller,One Star,use:ve_6ad9c595f7,high,same tier both years: 1 star,use:ve_6ad9c595f7
494,new_venue,,La Cheneaudière - Le Feuillage,Colroy-la-Roche,,,,,new,high,"no candidate in colroy-la-roche, nor anywhere in France holding a Michelin 2025 row",new
495,new_venue,,Le M - Domaine de Montagne,Ventron,,,,,new,high,"no candidate in ventron, nor anywhere in France holding a Michelin 2025 row",new
496,new_venue,,La Cachette,Valence,,,,,new,high,"no candidate in valence, nor anywhere in France holding a Michelin 2025 row",new
498,new_venue,,Le Carré d'Alethius,Charmes-sur-Rhône,,,,,new,high,"no candidate in charmes-sur-rhone, nor anywhere in France holding a Michelin 2025 row",new
499,new_venue,,Les Cèdres,Granges-les-Beaumont,,,,,new,high,"no candidate in granges-les-beaumont, nor anywhere in France holding a Michelin 2025 row",new
504,review_city,city_not_found,La Table d'Uzès,Uzès,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Uzès, France",new
505,review_city,city_not_found,Cheval Blanc,Lembach,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Lembach, France",new
506,new_venue,,Auberge Frankenbourg,La Vancelle,,,,,new,high,"no candidate in la-vancelle, nor anywhere in France holding a Michelin 2025 row",new
507,new_venue,,Le Kléber - La Maison Bonnet,Grane,,,,,new,high,"no candidate in grane, nor anywhere in France holding a Michelin 2025 row",new
508,review_city,city_not_found,Le Bon Accueil,Malbuisson,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Malbuisson, France",new
509,new_venue,,Le Colombier,Malataverne,,,,,new,high,"no candidate in malataverne, nor anywhere in France holding a Michelin 2025 row",new
510,new_venue,,Le Pot d'Étain,Danjoutin,,,,,new,high,"no candidate in danjoutin, nor anywhere in France holding a Michelin 2025 row",new
511,new_venue,,Thierry Schwartz - Table Naturelle,Obernai,,,,,new,high,"no candidate in obernai, nor anywhere in France holding a Michelin 2025 row",new
512,new_venue,,Rouge,Nîmes,,,,,new,high,"no candidate in nimes, nor anywhere in France holding a Michelin 2025 row",new
513,new_venue,,Le Cèdre de Montcaud,Sabran,,,,,new,high,"no candidate in sabran, nor anywhere in France holding a Michelin 2025 row",new
514,review_city,city_not_found,Ambroisie,Saint-Didier-de-la-Tour,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; needs city: Saint-Didier-de-la-Tour, France; dropped: ve_68a6950342 (L'Ambroisie, Paris) is already spoken for by line 64 (L'Ambroisie, match)",new
515,new_venue,,Skab,Nîmes,ve_f667ce2a30,Restaurant Skab,nimes,One Star,use:ve_f667ce2a30,high,same tier both years: 1 star,use:ve_f667ce2a30
516,new_venue,,Alchémille,Kaysersberg,ve_8c25148528,L'Alchémille,kaysersberg,One Star,use:ve_8c25148528,high,same tier both years: 1 star,use:ve_8c25148528
519,review_city,city_not_found,Restaurant Julien Binz,Ammerschwihr,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Ammerschwihr, France",new
520,review_city,city_not_found,La Table du Gourmet,Riquewihr,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Riquewihr, France",new
521,new_venue,,Jérôme Nutile,Nîmes,,,,,new,high,"no candidate in nimes, nor anywhere in France holding a Michelin 2025 row",new
522,review_city,city_not_found,Lavandin - Château Les Oliviers de Salettes,Charols,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Charols, France",new
523,new_venue,,L'Étang du Moulin,Bonnétage,,,,,new,high,"no candidate in bonnetage, nor anywhere in France holding a Michelin 2025 row",new
524,new_venue,,L'Atelier du Peintre,Colmar,,,,,new,high,"no candidate in colmar, nor anywhere in France holding a Michelin 2025 row",new
525,new_venue,,La Belle Vie,Saint-Hilaire-d'Ozilhan,,,,,new,high,"no candidate in saint-hilaire-dozilhan, nor anywhere in France holding a Michelin 2025 row",new
526,new_venue,,Restaurant Girardin,Colmar,,,,,new,high,"no candidate in colmar, nor anywhere in France holding a Michelin 2025 row",new
528,new_venue,,1741,Strasbourg,ve_cc24331b57,Restaurant 1741,strasbourg,One Star,use:ve_cc24331b57,high,same tier both years: 1 star,use:ve_cc24331b57
529,new_venue,,Le Clair de la Plume,Grignan,,,,,new,high,"no candidate in grignan, nor anywhere in France holding a Michelin 2025 row",new
530,new_venue,,Umami,Strasbourg,ve_f9e34945bd,Restaurant Umami,strasbourg,One Star,use:ve_f9e34945bd,high,same tier both years: 1 star,use:ve_f9e34945bd
531,new_venue,,Le Jardin Secret,La Wantzenau,,,,,new,high,"no candidate in la-wantzenau, nor anywhere in France holding a Michelin 2025 row",new
532,new_venue,,Le Relais de la Poste,La Wantzenau,ve_16bdd233b0,Hôtel-Restaurant Le Relais de la Poste,la-wantzenau,One Star,use:ve_16bdd233b0,high,"same tier both years: 1 star; dropped: ve_8859261736 (Relais De La Poste, Magescq) is already spoken for by line 204 (Relais de la Poste, match)",use:ve_16bdd233b0
533,new_venue,,Guillaume Scheer - Les Plaisirs Gourmands,Strasbourg,,,,,new,high,"no candidate in strasbourg, nor anywhere in France holding a Michelin 2025 row",new
535,new_venue,,de:ja,Strasbourg,ve_a8213a9418,Restaurant DEJA,strasbourg,One Star,use:ve_a8213a9418,high,same tier both years: 1 star,use:ve_a8213a9418
537,new_venue,,L'Orchidée,Ensisheim,,,,,new,high,"no candidate in ensisheim, nor anywhere in France holding a Michelin 2025 row",new
539,new_venue,,Lamartine,Le Bourget-du-Lac,,,,,new,high,"no candidate in le-bourget-du-lac, nor anywhere in France holding a Michelin 2025 row",new
542,review_city,city_not_found,Maison Chenet - Entre Vigne et Garrigue,Pujaut,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Pujaut, France",new
544,review_city,city_not_found,La Table de L'Incomparable,Tresserve,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Tresserve, France",new
545,new_venue,,Ineffable,Barbentane,ve_9aa71bbec8,Restaurant Ineffable,barbentane,One Star,use:ve_9aa71bbec8,high,same tier both years: 1 star,use:ve_9aa71bbec8
546,new_venue,,Il Cortile,Mulhouse,,,,,new,high,"no candidate in mulhouse, nor anywhere in France holding a Michelin 2025 row",new
548,new_venue,,Pollen,Avignon,ve_42a5fc32bc,Restaurant Pollen,avignon,One Star,use:ve_42a5fc32bc,high,same tier both years: 1 star,use:ve_42a5fc32bc
549,review_city,city_not_found,Le Prieuré,Villeneuve-lès-Avignon,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Villeneuve-lès-Avignon, France",new
550,new_venue,,Le Refuge des Gourmets,Machilly,ve_b279522a5e,REFUGE DES GOURMETS,machilly,One Star,use:ve_b279522a5e,high,same tier both years: 1 star,use:ve_b279522a5e
551,new_venue,,Asterales,Corrençon-en-Vercors,,,,,new,high,"no candidate in correncon-en-vercors, nor anywhere in France holding a Michelin 2025 row",new
552,review_city,city_not_found,L'Auberge de Lucinges,Lucinges,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Lucinges, France",new
556,new_venue,,L'Oustalet,Gigondas,,,,,new,high,"no candidate in gigondas, nor anywhere in France holding a Michelin 2025 row",new
559,new_venue,,La Table de Tourrel,Saint-Rémy-de-Provence,,,,,new,high,"no candidate in saint-remy, nor anywhere in France holding a Michelin 2025 row",new
560,new_venue,,L'Aupiho - Domaine de Manville,Les Baux-de-Provence,,,,,new,high,"no candidate in les-baux-de-provence, nor anywhere in France holding a Michelin 2025 row",new
561,new_venue,,Auberge Saint-Laurent,Sierentz,,,,,new,high,"no candidate in sierentz, nor anywhere in France holding a Michelin 2025 row",new
562,new_venue,,Les Fresques - Hôtel Royal,Évian-les-Bains,ve_3a24173df2,Fresques,evian-les-bains,One Star,,,Ben's call: the candidate's city matches one row exactly and not the other. blank on purpose: line 349 proposes the same venue ve_3a24173df2. Two rows cannot be one venue - pick the one that is it and make the other new. (same tier both years: 1 star),use:ve_3a24173df2
563,new_venue,,Frédéric Molina à Forêt Ivre,Vailly,ve_a4aa7cb9ba,Restaurant Frédéric Molina à Forêt Ivre,vailly,One Star,use:ve_a4aa7cb9ba,high,same tier both years: 1 star,use:ve_a4aa7cb9ba
564,new_venue,,Le Vivier,L'Isle-sur-la-Sorgue,,,,,new,high,"no candidate in lisle-sur-la-sorgue, nor anywhere in France holding a Michelin 2025 row",new
566,new_venue,,Kern,Seytroux,,,,,new,high,"no candidate in seytroux, nor anywhere in France holding a Michelin 2025 row",new
567,new_venue,,Le Cin5 - Au Cœur du Village,La Clusaz,ve_a0adf5e745,Restaurant Le Cin5,la-clusaz,One Star,use:ve_a0adf5e745,high,same tier both years: 1 star,use:ve_a0adf5e745
571,new_venue,,Vous,Megève,,,,,new,high,"no candidate in megeve, nor anywhere in France holding a Michelin 2025 row",new
573,new_venue,,Mont Blanc Restaurant & Goûter,Hauteluce,,,,,new,high,"no candidate in hauteluce, nor anywhere in France holding a Michelin 2025 row",new
577,new_venue,,Le Goût du Bonheur - La Fenière,Cadenet,,,,,new,high,"no candidate in cadenet, nor anywhere in France holding a Michelin 2025 row",new
579,new_venue,,Albert 1er,Chamonix-Mont-Blanc,ve_9a31afe9f5,Restaurant Albert 1er,chamonix-mont-blanc,One Star,use:ve_9a31afe9f5,high,same tier both years: 1 star,use:ve_9a31afe9f5
581,new_venue,,Dan B.,Ventabren,ve_238989dcec,Restaurant Dan B.,ventabren,One Star,use:ve_238989dcec,high,same tier both years: 1 star,use:ve_238989dcec
582,new_venue,,L'Oursin,Carry-le-Rouet,,,,,new,high,"no candidate in carry-le-rouet, nor anywhere in France holding a Michelin 2025 row",new
584,new_venue,,L'Ekrin by Laurent Azoulay,Méribel,,,,,new,high,"no candidate in meribel, nor anywhere in France holding a Michelin 2025 row",new
585,new_venue,,Le Farçon,Courchevel,ve_1e0a5a501f,Restaurant le Farçon,courchevel,One Star,use:ve_1e0a5a501f,high,same tier both years: 1 star,use:ve_1e0a5a501f
586,new_venue,,Le Chabichou by Stéphane Buron,Courchevel,,,,,new,high,"no candidate in courchevel, nor anywhere in France holding a Michelin 2025 row",new
587,new_venue,,Alpage,Courchevel,ve_e643c85d2a,Restaurant Alpage,courchevel,One Star,use:ve_e643c85d2a,high,same tier both years: 1 star,use:ve_e643c85d2a
588,new_venue,,L'Altitude,Courchevel,ve_c240b986ce,Restaurant L'Altitude*,courchevel,One Star,use:ve_c240b986ce,high,same tier both years: 1 star,use:ve_c240b986ce
589,new_venue,,La Table de l'Orangerie - Château de Fonscolombe,Le Puy-Sainte-Réparade,,,,,new,high,"no candidate in le-puy-sainte-reparade, nor anywhere in France holding a Michelin 2025 row",new
590,new_venue,,Les Explorateurs - Hôtel Pashmina,Val-Thorens,,,,,new,high,"no candidate in val-thorens, nor anywhere in France holding a Michelin 2025 row",new
591,new_venue,,La Bastide Bourrelly - Mathias Dandine,Calas-Cabriès,,,,,new,high,"no candidate in calas-cabries, nor anywhere in France holding a Michelin 2025 row",new
593,new_venue,,Le Art - Château de la Gaude,Aix-en-Provence,ve_d61dd48136,Le Art,aix-en-provence,One Star,use:ve_d61dd48136,high,same tier both years: 1 star,use:ve_d61dd48136
596,new_venue,,Le Feuillée - Le Couvent des Minimes,Mane,ve_74b0053f51,Le Feuillée,mane,One Star,use:ve_74b0053f51,high,same tier both years: 1 star,use:ve_74b0053f51
599,new_venue,,Ursus,Tignes,ve_ef57492a00,Restaurant URSUS,tignes,One Star,use:ve_ef57492a00,high,same tier both years: 1 star,use:ve_ef57492a00
603,new_venue,,La Magdeleine - Mathias Dandine,Gémenos,,,,,new,high,"no candidate in gemenos, nor anywhere in France holding a Michelin 2025 row",new
605,new_venue,,La Table de Nans,La Ciotat,,,,,new,high,"no candidate in la-ciotat, nor anywhere in France holding a Michelin 2025 row",new
606,new_venue,,Les Oliviers,Bandol,,,,,new,high,"no candidate in bandol, nor anywhere in France holding a Michelin 2025 row",new
607,new_venue,,La Bastide de Moustiers,Moustiers-Sainte-Marie,,,,,new,high,"no candidate in moustiers-sainte-marie, nor anywhere in France holding a Michelin 2025 row",new
611,new_venue,,Bruno,Lorgues,,,,,new,high,"no candidate in lorgues, nor anywhere in France holding a Michelin 2025 row",new
614,review_city,city_not_found,L'Oursin - Hôtel Les Roches,Le Lavandou,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Le Lavandou, France",new
615,new_venue,,Faventia,Tourrettes,ve_69934b07bd,Restaurant Le FAVENTIA,tourrettes,One Star,use:ve_69934b07bd,high,same tier both years: 1 star,use:ve_69934b07bd
616,new_venue,,La Palmeraie - Château de Valmer,La Croix-Valmer,,,,,new,high,"no candidate in la-croix-valmer, nor anywhere in France holding a Michelin 2025 row",new
617,new_venue,,Arnaud Donckele & Maxime Frédéric at Louis Vuitton,Saint-Tropez,ve_65591e378b,Restaurant Arnaud Donckele & Maxime Frédéric at Louis Vuitton,saint-tropez,One Star,use:ve_65591e378b,high,same tier both years: 1 star,use:ve_65591e378b
618,new_venue,,La Terrasse - Cheval Blanc St-Tropez,Saint-Tropez,,,,,new,high,"no candidate in saint-tropez, nor anywhere in France holding a Michelin 2025 row",new
619,new_venue,,Auberge de la Roche,Valdeblore,,,,,new,high,"no candidate in valdeblore, nor anywhere in France holding a Michelin 2025 row",new
620,new_venue,,Colette,Saint-Tropez,,,,,new,high,"no candidate in saint-tropez, nor anywhere in France holding a Michelin 2025 row",new
621,new_venue,,Bessem,Mandelieu-la-Napoule,,,,,new,high,"no candidate in mandelieu-la-napoule, nor anywhere in France holding a Michelin 2025 row",new
624,new_venue,,Alain Llorca,La Colle-sur-Loup,ve_b4babd7276,Restaurant @ Alain llorca,la-colle-sur-loup,One Star,use:ve_b4babd7276,high,same tier both years: 1 star,use:ve_b4babd7276
625,new_venue,,La Palme d'Or,Cannes,ve_72bc10551e,Restaurant La Palme d'Or,cannes,One Star,use:ve_72bc10551e,high,same tier both years: 1 star,use:ve_72bc10551e
626,review_city,city_not_found,La Table de Pierre,Saint-Paul-de-Vence,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Saint-Paul-de-Vence, France",new
627,new_venue,,Les Terraillers,Biot,ve_9c646fdf2a,Restaurant Les Terraillers,biot,One Star,use:ve_9c646fdf2a,high,same tier both years: 1 star,use:ve_9c646fdf2a
628,new_venue,,La Passagère - Hôtel Belles Rives,Juan-les-Pins,,,,,new,high,"no candidate in juan-les-pins, nor anywhere in France holding a Michelin 2025 row",new
629,new_venue,,Les Pêcheurs,Antibes,,,,,new,high,"no candidate in antibes, nor anywhere in France holding a Michelin 2025 row",new
630,new_venue,,Louroc - Hôtel du Cap-Eden-Roc,Antibes,,,,,new,high,"no candidate in antibes, nor anywhere in France holding a Michelin 2025 row",new
632,new_venue,,Racines - Bruno Cirino,Nice,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; dropped: ve_8234491228 (Racines, Bordeaux) is already spoken for by line 760 (Racines by Daniel Gallacher, new_venue, same city); dropped: ve_bde02da00e (Racines, Étaples) is already spoken for by line 730 (Racines, match); dropped: ve_bfcef785d1 (Racines, Annecy) is already spoken for by line 1022 (Racines, match)",new
633,new_venue,,L'Aromate,Nice,,,,,new,high,"no candidate in nice, nor anywhere in France holding a Michelin 2025 row",new
634,new_venue,,Épicentre,Nice,,,,,new,high,"no candidate in nice, nor anywhere in France holding a Michelin 2025 row",new
635,new_venue,,Les Agitateurs,Nice,,,,,new,high,"no candidate in nice, nor anywhere in France holding a Michelin 2025 row",new
639,new_venue,,Le Restaurant des Rois - La Réserve de Beaulieu,Beaulieu-sur-Mer,ve_6b022b029a,Le Restaurant des Rois,beaulieu-sur-mer,One Star,use:ve_6b022b029a,high,same tier both years: 1 star,use:ve_6b022b029a
641,review_city,city_not_found,La Table du Cap Estel,Èze-Bord-de-Mer,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Èze-Bord-de-Mer, France",new
642,new_venue,,A Casa di Mà,Lumio,,,,,new,high,"no candidate in lumio, nor anywhere in France holding a Michelin 2025 row",new
645,new_venue,,La Table de la Ferme,Sartène,,,,,new,high,"no candidate in sartene, nor anywhere in France holding a Michelin 2025 row",new
646,new_venue,,Finestra by Italo Bassi,Bonifacio,,,,,new,high,"no candidate in bonifacio, nor anywhere in France holding a Michelin 2025 row",new
